                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 2.0779,                 1.6199,                 2.1924,                 1.9133,                 2.7222,                 2.0845,                0.36562,                0.42105,                 0.3559,                0.11775,                 2.7217,                 2.6758,                 3.4785,                  2.698,                 4.8936,                 3.8765,              0.0014951,              0.0014951,              0.0014951
                     54,                 2.0171,                  1.609,                  2.203,                  1.865,                 2.7108,                 2.0892,                0.00875,                0.68421,                0.27272,                0.07374,                 2.8462,                 2.9135,                 3.5983,                 2.7775,                 4.9926,                 4.2619,              0.0014852,              0.0014852,              0.0014852
                     55,                  1.924,                 1.5035,                 2.3184,                 1.8718,                 2.5409,                 2.2538,                0.26497,                0.26316,                0.16538,                0.05265,                 2.7519,                 2.7685,                 3.5344,                 2.5226,                 5.2263,                 3.6673,              0.0014753,              0.0014753,              0.0014753
                     56,                 1.8008,                 1.4672,                 2.1053,                 1.7093,                 2.6345,                 1.9903,                0.17317,                0.36842,                0.10691,                 0.0427,                 2.4977,                 3.5262,                 3.8607,                 2.2105,                 10.085,                 4.3778,              0.0014654,              0.0014654,              0.0014654
                     57,                 1.8628,                  1.532,                 2.2455,                 1.7116,                  2.735,                  2.138,                0.15121,                0.34721,                0.12962,                0.05119,                 2.6307,                 3.2872,                 4.0834,                  2.217,                 8.6051,                  3.973,              0.0014555,              0.0014555,              0.0014555
                     58,                 2.0193,                 1.6365,                 2.2825,                 1.8808,                  2.862,                 2.1833,                0.39167,                0.36842,                0.33767,                0.10451,                 2.7926,                 2.6071,                 5.1988,                 2.3438,                 4.1301,                 3.5395,              0.0014456,              0.0014456,              0.0014456
                     59,                 2.1338,                  1.528,                 2.2454,                 1.9378,                 2.5786,                 2.0878,                0.39131,                0.31579,                 0.2988,                0.09124,                 2.5372,                 2.6095,                 4.6391,                 2.0115,                  3.977,                 3.1859,              0.0014357,              0.0014357,              0.0014357
                     60,                 1.9277,                 1.3845,                 2.1796,                 1.8136,                 2.4389,                 2.1113,                0.36475,                0.24277,                0.34196,                0.14094,                 2.0554,                 2.2476,                 3.6299,                 1.8193,                 3.6097,                 3.2005,              0.0014258,              0.0014258,              0.0014258
                     61,                  2.065,                 1.5074,                 2.3031,                 2.0044,                 2.4885,                 2.3634,                0.40224,                0.46088,                0.29629,                0.12469,                 2.1637,                  2.171,                  3.544,                 1.9092,                 3.5264,                 2.9998,              0.0014159,              0.0014159,              0.0014159
                     62,                 1.9754,                 1.4776,                 2.2045,                 1.7655,                 2.5557,                 2.1032,                 0.3009,                0.42105,                0.33639,                 0.1198,                 2.0982,                 2.5387,                 3.7784,                  1.772,                 3.5654,                  3.065,               0.001406,               0.001406,               0.001406
                     63,                 1.8931,                 1.4549,                 2.1824,                 1.7362,                  2.411,                 2.1274,                0.09853,                0.47368,                0.14891,                  0.058,                 2.1498,                 3.3673,                  3.851,                 1.9745,                 8.8097,                 3.6461,              0.0013961,              0.0013961,              0.0013961
                     64,                 1.9996,                 1.3482,                 2.2437,                 1.9387,                 2.2243,                 2.1749,                0.08443,                0.42105,                0.13654,                0.04721,                 2.4027,                 4.0595,                 3.6949,                 2.1335,                 15.872,                 3.7318,              0.0013862,              0.0013862,              0.0013862
                     65,                  2.008,                 1.3553,                 2.1703,                 2.0265,                 2.2267,                 2.2104,                0.13334,                0.42105,                0.16182,                0.04876,                 2.2296,                 3.9245,                 3.6067,                 2.1358,                 10.178,                 3.6802,              0.0013763,              0.0013763,              0.0013763
                     66,                 1.7833,                 1.3453,                  2.188,                 1.8059,                 2.1986,                 2.2348,                0.39669,                0.38119,                0.36402,                0.16495,                 1.8061,                 2.7618,                 2.9378,                 1.5548,                 3.3304,                 2.8704,              0.0013664,              0.0013664,              0.0013664
                     67,                 2.0107,                 1.3029,                 2.2844,                 1.9864,                 2.1115,                 2.2915,                0.40196,                0.52632,                0.43565,                0.24773,                 1.7997,                 2.4499,                  2.806,                 1.5733,                 3.0036,                 2.7242,              0.0013565,              0.0013565,              0.0013565
                     68,                 1.8871,                 1.2558,                  2.085,                 1.8559,                 1.9211,                 2.0479,                0.53736,                0.42105,                0.52042,                0.26823,                 1.8127,                 2.6096,                 2.7206,                 1.5196,                 2.9152,                 2.7651,              0.0013466,              0.0013466,              0.0013466
                     69,                 1.6715,                 1.2011,                 2.0641,                 1.7057,                 2.1076,                 2.1057,                0.76144,                0.47368,                0.61521,                0.30643,                 1.8621,                  2.338,                 2.7751,                 1.6112,                 2.8196,                 3.0335,              0.0013367,              0.0013367,              0.0013367
                     70,                 1.7394,                 1.2434,                 2.0527,                 1.6725,                 2.0425,                   2.04,                0.70424,                0.50226,                0.65109,                0.32933,                 1.6989,                 1.7303,                 2.5843,                 1.5854,                 2.7684,                 2.7723,              0.0013268,              0.0013268,              0.0013268
                     71,                 1.7616,                 1.2054,                 1.9862,                  1.705,                 1.8716,                 2.0013,                0.68832,                0.52632,                0.65657,                0.32598,                 1.7485,                 1.7694,                   2.65,                 1.5999,                 2.7854,                 2.5852,              0.0013169,              0.0013169,              0.0013169
                     72,                 1.6825,                 1.1867,                 1.9739,                 1.7355,                 1.8924,                 1.9731,                0.58679,                0.52632,                0.66009,                0.34791,                 1.6418,                 1.9126,                 2.5521,                 1.5853,                 2.7388,                 2.4581,               0.001307,               0.001307,               0.001307
                     73,                  1.609,                 1.1043,                 1.8934,                 1.6166,                 1.8094,                 1.9071,                0.42745,                0.63158,                0.53529,                0.27541,                 1.6738,                 2.0172,                  2.545,                 1.5995,                   2.93,                  2.421,              0.0012971,              0.0012971,              0.0012971
                     74,                 1.7427,                 1.1384,                 1.9931,                 1.7812,                 1.8059,                 2.0097,                0.47901,                0.57895,                0.56262,                0.28217,                 1.7014,                 2.1079,                 2.5518,                 1.7123,                 2.7915,                 2.5492,              0.0012872,              0.0012872,              0.0012872
                     75,                 1.6562,                 1.2653,                 2.0065,                 1.6483,                 1.9825,                 2.0529,                0.48662,                0.64901,                0.56195,                0.29933,                 1.6857,                 2.0118,                 2.5392,                 1.6022,                 2.6742,                 2.4411,              0.0012773,              0.0012773,              0.0012773
                     76,                 1.7302,                 1.2341,                 2.0468,                 1.7416,                 1.8284,                 2.0263,                0.81788,                0.47282,                0.62048,                0.33539,                 1.7741,                 1.9169,                 2.7471,                 1.4913,                 2.7297,                 2.5242,              0.0012674,              0.0012674,              0.0012674
                     77,                 1.8649,                 1.1212,                 2.1597,                 1.7108,                 1.7583,                 2.0478,                0.79934,                0.41948,                0.59321,                0.23694,                 2.0804,                 2.0764,                  3.035,                 1.7139,                 3.0277,                 2.7983,              0.0012575,              0.0012575,              0.0012575
